,ID,Country,Date Start,Date end intended,Description of measure implemented,Implementing State/Province,Keywords,Target region,education_closure,outdoor_gatherings_banned,sports cancellation,compulsory isolation,international travel ban,business suspension,blanket isolation,blanket curfew,social distancing
386,262,France,2020-03-15,,"France’s centrist government has also banned gatherings of more than 100 people, while advising all citizens to keep a distance of 1 metre between them.",,"outdoor gatherings banned, social distancing",,,1.0,,,,,,,
410,288,Latvia,2020-03-14,,"All public events banned, ad-hoc events only for groups <50 ppl (advised to be postponed)",,outdoor gatherings banned,,,1.0,,,,,,,
412,289,Lithuania,2020-03-12,,All public events with over 100 people cancelled,,outdoor gatherings banned,,,1.0,,,,,,,
414,292,Lithuania,2020-03-16,2020-03-30,All indoor and outdoor public events cancelled.,,outdoor gatherings banned,,,1.0,,,,,,,
422,295,Luxembourg,2020-03-13,,All events over 100 people banned,,outdoor gatherings banned,,,1.0,,,,,,,
430,301,Georgia,2020-03-16,,The Coordination Council recommended all elderly citizens of Georgia to avoid mass gatherings and isolate themselves.,,outdoor gatherings banned,,,1.0,,,,,,,
432,311,Netherlands,2020-03-12,,"All events (concerts, sports) and all work meetings with more than 100 people are now forbidden",,outdoor gatherings banned,,,1.0,,,,,,,
452,345,Latvia,2020-03-13,2020-04-14,"On 12 March, Prime Minister Krišjānis Kariņš announced that the government has declared a state of emergency and that starting 13 March and until 14 April large public gatherings with over 200 people are banned",,outdoor gatherings banned,,,1.0,,,,,,,
456,336,Iceland,2020-03-13,,"At a press conference at 11 a.m. on 13 March, it was announced that public gatherings of more than 100 would be banned",,outdoor gatherings banned,,,1.0,,,,,,,
470,361,Ireland,2020-03-12,,has recommended indoor gatherings of more than 100 people and outdoor gatherings of more than 500 people to be cancelled.,,"outdoor gatherings banned, sports cancellation",,,1.0,,,,,,,
492,388,Ukraine,2020-03-17,,"All mass gatherings (cultural, entertainment, sports, social, religious, advertising and other) involving more than ten people are prohibited",,"cultural activity limitation, outdoor gatherings banned, religious activity cancellation, social distancing, sports cancellation",,,1.0,,,,,,,
503,396,United States,2020-03-16,2020-03-30,Public health officials on Wednesday issued a moratorium on all large-scale events in San Francisco of >1000 attendees,California,outdoor gatherings banned,,,1.0,,,,,,,
508,412,Malta,2020-03-13,,Stop on all mass activities unless absolutely necessary. Number of people not specified.,,outdoor gatherings banned,,,1.0,,,,,,,
518,406,Poland,2020-03-15,,Assemblies of over 50 people  banned.,,outdoor gatherings banned,,,1.0,,,,,,,
524,432,Switzerland,2020-03-13,,the Federal Council has banned all events (public or private) involving more than 100 people.,,outdoor gatherings banned,,,1.0,,,,,,,
525,430,Switzerland,2020-02-28,,"the Federal Council announced an immediate ban on all public and private events involving more than 1000 participants, as one of the efforts to curb the spread of COVID-19 infection. Further, events of 150 or more now need federal permission.",,outdoor gatherings banned,,,1.0,,,,,,,
529,447,Romania,2020-03-08,2020-03-31,"The Head of the Department for Emergency Situations, Raed Arafat, announced a ban on all indoor or outdoor activities that involve the participation of more than 1,000 people.",,outdoor gatherings banned,,,1.0,,,,,,,
533,442,Norway,2020-03-12,2020-03-26,Sports and cultural events and gatherings are banned. Number of people not specified.,,outdoor gatherings banned,,,1.0,,,,,,,
591,570,Australia,2020-03-15,,All gatherings of more than 500 people cancelled. ,,outdoor gatherings banned,,,1.0,,,,,,,
598,590,Russia,2020-03-12,,"The Governor of Moscow Oblast Andrey Vorobyov has announced a high alert status, banning large events with over 5,000 people.",Moscow Oblast,outdoor gatherings banned,,,1.0,,,,,,,
599,588,Russia,2020-03-10,2020-04-10,"Moscow Mayor Sergei Sobyanin signed a decree for banning mass events in Moscow with more than 5,000 participants.",,outdoor gatherings banned,,,1.0,,,,,,,
607,597,Russia,2020-03-13,,Governor of Leningrad Oblast  Aleksandr Drozdenko announced a high alert status and banned events with more than 300 people.,Leningrad Oblast,outdoor gatherings banned,,,1.0,,,,,,,
613,583,Russia,2020-03-16,2020-04-10,"Moscow has banned all public events larger than 50 people from now until April 10, Mayor Sergei Sobyanin said in a new decree. Older citizens are also advised to stay at home.",,outdoor gatherings banned,,,1.0,,,,,,,
615,574,Russia,2020-03-13,2020-03-20,"The governor of Saint Petersburg Alexander Beglov announced a high alert status and banned events with more than 1,000 people.",St. Petersburg Oblast,outdoor gatherings banned,,,1.0,,,,,,,
617,599,Romania,2020-03-14,,Public gatherings with more than 50 people are banned.,,outdoor gatherings banned,,,1.0,,,,,,,
624,,US:N Carolina,2020-03-14,,gatherings 100 people banned,,outdoor gatherings banned,,,1.0,,,,,,,
627,613,US: Oregon,2020-03-11,,Avoid gatherings more than 10 people,,outdoor gatherings banned,,,1.0,,,,,,,
632,618,US: Oregon,2020-03-16,2020-04-16,ban on gatherings of more than 25 people,,outdoor gatherings banned,,,1.0,,,,,,,
637,628,US:California,2020-03-12,,ban of mass gatherings (35) unless compliant with measures to reduce spread of disease,Santa Clara County,"outdoor gatherings banned, public hygiene",,,1.0,,,,,,,
638,624,US:California,2020-03-12,,ban of mass gatherings,,outdoor gatherings banned,,,1.0,,,,,,,
641,626,US:California,2020-03-12,,ban of mass gatheings (100),Santa Clara County,outdoor gatherings banned,,,1.0,,,,,,,
652,659,US:Washington,2020-03-15,,ban of mass gatherings,,outdoor gatherings banned,,,1.0,,,,,,,
656,652,US:Washington,2020-03-11,,ban of mass gatherings,,outdoor gatherings banned,,,1.0,,,,,,,
661,691,Italy,2020-02-22,,All public events were cancelled and some commercial activities[which?] were halted or were allowed to resume only until 6 p.m.,,"limited nonessential business suspension, outdoor gatherings banned","Emilia-Romagna, Lombardy, Veneto",,1.0,,,,,,,
698,,US: S Carolina,2020-03-17,,gatherings of more than 50 people banned,,outdoor gatherings banned,,,1.0,,,,,,,
737,,Germany,2020-03-09,,Federal Minister of Health Jens Spahn encourages to consistently cancel large events with more than 1000 participants until further notice.,,outdoor gatherings banned,,,1.0,,,,,,,
739,,Germany,2020-03-10,,"the federal government's crisis team recommends that all major events with more than 1,000 expected participants be canceled",,outdoor gatherings banned,,,1.0,,,,,,,
746,,Germany,2020-03-22,2020-04-05,"the government and the federal states agreed for at least two weeks to forbid gatherings of more than two people and require a minimum distance of 1.5 metres (4 ft 11 in) between people in public except for families, partners or people living in the same household. Restaurants and services like hairdressers were to be closed",,"outdoor gatherings banned, space minimum",,,1.0,,,,,,,
776,756,Italy,2020-03-20,,"On 20 March, the Ministry of Health ordered tighter regulations on free movement. The new measures banned open-air sports and running, except individually and in close proximity of one's residence. Parks, playgrounds and public green were closed down. Furthermore, movement across the country was further restricted, by banning ""any movement towards a residence different from the main one"", including holiday homes, during weekends and holidays",,"blanket isolation - no symptoms, compulsory isolation, domestic travel ban, outdoor gatherings banned, public green closure, sports cancellation",,,1.0,,,,,,,
791,768,Albania,2020-03-08,,"ordered cancellation of all large public gatherings, and asked sports federations to cancel scheduled matches",,"outdoor gatherings banned, sports cancellation",,,1.0,,,,,,,
826,798,Albania,2020-03-16,,"On 16 March, another wide-ranging ""emergency legislation"" was adopted, specifying various fines for violations of protocol, to be effective immediately. Social, cultural, and political gatherings, whether in enclosed or open-air spaces, were banned, and violators could be fined up to 5 million lek (or 40,000 euros).",,outdoor gatherings banned,,,1.0,,,,,,,
841,,Bosnia and Herzegovina,2020-03-18,,"The Headquarters of Federation of B&H issued on 18 March an order that banned all public gatherings, suspending the operation of all catering facilities for the preparation and sale of food and beverages, restaurants, pizzerias, confectioneries, beauty salons, hookah bars, coffee bars, discos, tea shops, cafes, private dentists.",Federation of Bosnia and Herzegovina,"general nonessential business suspension, outdoor gatherings banned, restaurant limitations",,,1.0,,,,,,,
856,822,Mexico,2020-03-17,,"Public events over 1,000 people suspended in Mexico City",Mexico City,outdoor gatherings banned,,,1.0,,,,,,,
900,,US:Georgia,2020-03-20,,gatherings banned (10 people),,outdoor gatherings banned,,,1.0,,,,,,,
903,,US:Georgia,2020-03-15,,gatherings banned 250 people,,outdoor gatherings banned,,,1.0,,,,,,,
936,857,Denmark,2020-03-11,,"Initially, the authorities strongly recommend that all events with more than one thousand people either are cancelled or postponed, but on 11 March the limit was lowered to one hundred people;",,outdoor gatherings banned,,,1.0,,,,,,,
940,861,Denmark,2020-03-18,2020-04-13,"Starting 18 March at 10 AM, a number of further restrictions were activated: It became illegal to assemble more than ten people in public, Unlike previous restrictions on the number of people allowed to assemble, the new restrictions are not merely a recommendation, and breaking the new restrictions is associated with fines of DKK 1500",,"compulsory isolation, outdoor gatherings banned",,,1.0,,,,,,,
950,,Singapore,2020-03-13,,Events with >250 cancelled,,outdoor gatherings banned,,,1.0,,,,,,,
958,,US:Maryland,2020-03-12,,banned gatherings of more than 250 people,,outdoor gatherings banned,,,1.0,,,,,,,
962,,Singapore,2020-02-02,,Large gatherings in schools and eldercare facilities cancelled,,"elderly, outdoor gatherings banned",,,1.0,,,,,,,
990,,US: Illinois,2020-03-16,,all gatherings of 50 or more people will be canceled in accordance with new guidelines which were issued by the CDC.,,outdoor gatherings banned,,,1.0,,,,,,,
994,,US: Wisconsin,2020-03-17,,"On March 17, a statewide ban of all gatherings with more than 10 people was announced by the governor.",,outdoor gatherings banned,,,1.0,,,,,,,
1008,,US: Virginia,2020-03-11,,gatherings more100 people banned at University of Charlottesville,,outdoor gatherings banned,,,1.0,,,,,,,
1009,,US: Virginia,2020-03-17,,gatherings more 10 people banned,,outdoor gatherings banned,,,1.0,,,,,,,
1012,879,US:Delaware,2020-03-12,,Governor Carney also recommended that all non-essential public gatherings of over 100 people be cancelled,,outdoor gatherings banned,,,1.0,,,,,,,
1028,,US: Illinois,2020-03-21,,All public and private gatherings of any number of people occurring outside a single household or living unit are prohibited,,outdoor gatherings banned,,,1.0,,,,,,,
1037,,US: Indiana,2020-03-17,,GAthering of more than 50 people banned,,outdoor gatherings banned,,,1.0,,,,,,,
